dataset_name,dataset_nrows,dataset_ncolumns,tpot_score,quick_score,autosklearn_score,tpot_time,quick_time,autosklearn_time
haberman,306,3,0.727,0.792,0.74,33.483,14.708,115.656
postoperative_patient_data,88,8,0.727,0.727,0.636,19.505,11.925,113.459
tae,151,5,0.553,0.526,0.526,32.351,21.234,115.83
iris,150,4,1.0,0.974,0.947,33.693,19.336,113.843
mux6,128,6,1.0,0.969,1.0,39.104,18.725,116.98
cloud,108,7,0.556,0.778,0.741,60.981,14.791,114.85
penguins,333,7,1.0,1.0,1.0,53.938,18.766,114.467
analcatdata_lawsuit,264,4,0.985,0.985,0.985,15.04,18.416,115.567
prnn_crabs,200,7,1.0,0.96,1.0,28.821,22.388,117.824
prnn_fglass,205,9,0.731,0.808,0.731,34.827,22.433,115.128
analcatdata_dmft,797,4,0.175,0.225,0.195,38.6,13.349,116.007
threeOf9,512,9,0.992,1.0,1.0,56.408,22.474,113.88
spect,267,22,0.851,0.836,0.806,41.528,11.181,116.104
profb,672,9,0.613,0.631,0.637,54.428,23.626,114.095
breast,699,10,0.971,0.966,0.971,43.887,20.837,114.321
diabetes,768,8,0.745,0.766,0.75,35.461,16.83,116.433
horse_colic,368,22,0.815,0.783,0.815,22.921,17.937,114.84
colic,368,22,0.815,0.804,0.783,29.808,14.137,116.247
led7,3200,7,0.725,0.724,0.728,121.48,23.97,114.484
spectf,349,44,0.943,0.852,0.909,52.283,20.421,116.364
soybean,675,35,0.905,0.876,0.917,158.066,22.618,114.325
sonar,208,60,0.885,0.808,0.827,56.204,28.002,114.741
german,1000,20,0.732,0.72,0.724,123.014,20.538,117.293
flare,1066,10,0.858,0.839,0.85,59.694,17.259,114.4
GAMETES_Epistasis_2_Way_20atts_0.4H_EDM_1_1,1600,20,0.77,0.677,0.787,196.705,23.385,115.282
movement_libras,360,90,0.8,0.778,0.844,126.955,38.41,116.559
GAMETES_Epistasis_2_Way_20atts_0.1H_EDM_1_1,1600,20,0.667,0.535,0.652,179.472,24.52,115.228
GAMETES_Epistasis_3_Way_20atts_0.2H_EDM_1_1,1600,20,0.555,0.5,0.672,89.348,24.382,115.115
phoneme,5404,5,0.905,0.905,0.896,285.346,66.067,114.952
car_evaluation,1728,21,0.998,0.954,0.993,416.0,28.817,115.108
wine_quality_white,4898,11,0.677,0.655,0.639,853.296,59.621,115.016
page_blocks,5473,10,0.971,0.972,0.973,384.086,88.345,116.031
mfeat_zernike,2000,47,0.832,0.832,0.826,399.574,112.599,115.067
hypothyroid,3163,25,0.981,0.982,0.977,214.244,36.195,115.95
churn,5000,20,0.958,0.948,0.954,596.834,118.372,117.527
analcatdata_authorship,841,70,1.0,0.986,1.0,354.742,39.086,115.395
kr_vs_kp,3196,36,0.994,0.981,0.981,235.377,59.966,114.709
mfeat_fourier,2000,76,0.836,0.832,0.834,2008.649,178.306,119.336
allbp,3772,29,0.965,0.97,0.971,425.677,78.726,115.514
agaricus_lepiota,8145,22,1.0,1.0,1.0,383.928,133.675,119.05
ring,7400,20,0.977,0.966,0.978,1005.92,276.965,114.088
splice,3188,60,0.962,0.957,0.955,284.299,79.172,114.585
